Package	Version
abind	1.4-5
annotate	1.78.0
AnnotationDbi	1.62.2
AnnotationFilter	1.24.0
AnnotationForge	1.42.2
AnnotationHub	3.8.0
ape	5.7-1
aplot	0.2.2
ArchR	1.0.2
argparse	2.2.3
AsioHeaders	1.22.1-2
askpass	1.2.0
assertthat	0.2.1
backports	1.4.1
base	4.3.1
base64	2.0.1
base64enc	0.1-3
beachmat	2.16.0
beadarray	2.52.0
BeadDataPackR	1.54.0
beeswarm	0.4.0
BH	1.81.0-1
Biobase	2.60.0
BiocFileCache	2.8.0
BiocGenerics	0.46.0
BiocIO	1.10.0
BiocManager	1.30.25
BiocParallel	1.34.2
BiocVersion	3.17.1
biomaRt	2.56.1
Biostrings	2.68.1
biovizBase	1.48.0
bit	4.0.5
bit64	4.0.5
bitops	1.0-7
blob	1.2.4
bookdown	0.38
boot	1.3-28.1
brew	1.0-8
brio	1.1.3
Brobdingnag	1.2-9
broom	1.0.5
broom.helpers	1.17.0
BSgenome	1.68.0
BSgenome.Hsapiens.UCSC.hg19	1.4.3
BSgenome.Hsapiens.UCSC.hg38	1.4.5
BSgenome.Sscrofa.UCSC.susScr11	1.4.2
bslib	0.5.1
BuenColors	0.5.6
cachem	1.0.8
Cairo	1.6-1
calibrate	1.7.7
callr	3.7.3
car	3.1-2
carData	3.0-5
cards	0.2.2
caTools	1.18.2
cellranger	1.1.0
checkmate	2.2.0
ChIPseeker	1.36.0
chromote	0.2.0
chromVAR	1.22.1
chromVARmotifs	0.2.0
circlize	0.4.15
class	7.3-22
cli	3.6.1
clipr	0.8.0
clue	0.3-65
cluster	2.1.4
clusterProfiler	4.8.3
CNEr	1.36.0
coda	0.19-4.1
codetools	0.2-19
colorspace	2.1-0
colourpicker	1.3.0
commonmark	1.9.0
compiler	4.3.1
ComplexHeatmap	2.16.0
confintr	1.0.2
conflicted	1.2.0
corpcor	1.6.10
corrplot	0.92
cowplot	1.1.1
cpp11	0.4.6
crayon	1.5.2
credentials	2.0.1
crosstalk	1.2.0
curl	5.0.2
d3treeR	0.1
data.table	1.14.8
data.tree	1.1.0
datasets	4.3.1
DBI	1.1.3
dbplyr	2.3.4
DelayedArray	0.30.1
DelayedMatrixStats	1.22.6
deldir	1.0-9
dendextend	1.17.1
dendsort	0.3.4
Deriv	4.1.3
desc	1.4.2
DESeq2	1.40.2
devtools	2.4.5
dichromat	2.0-0.1
diffobj	0.3.5
digest	0.6.33
DirichletMultinomial	1.42.0
doBy	4.6.19
doParallel	1.0.17
DOSE	3.26.2
dotCall64	1.1-1
DoubletFinder	2.0.3
downlit	0.4.3
downloader	0.4
dplyr	1.1.3
dqrng	0.3.1
DropletUtils	1.24.0
DT	0.30
dtplyr	1.3.1
DynDoc	1.78.0
e1071	1.7-13
edgeR	4.2.0
ellipse	0.5.0
ellipsis	0.3.2
emmeans	1.8.9
enrichplot	1.20.3
ensembldb	2.24.1
estimability	1.4.1
evaluate	0.22
extrafont	0.19
extrafontdb	1.0
factoextra	1.0.7
FactoMineR	2.9
fANCOVA	0.6-1
fansi	1.0.5
farver	2.1.1
fastcluster	1.2.3
fastDummies	1.7.3
fastmap	1.1.1
fastmatch	1.1-4
fgsea	1.26.0
fields	15.2
filelock	1.0.2
findpython	1.0.8
fitdistrplus	1.1-11
flashClust	1.01-2
FNN	1.1.3.2
fontawesome	0.5.2
forcats	1.0.0
foreach	1.5.2
foreign	0.8-85
formatR	1.14
Formula	1.2-5
fs	1.6.3
futile.logger	1.4.3
futile.options	1.0.1
future	1.33.0
future.apply	1.11.0
gargle	1.5.2
gchromVAR	0.3.2
generics	0.1.3
GenomeInfoDb	1.36.4
GenomeInfoDbData	1.2.10
GenomicAlignments	1.36.0
GenomicFeatures	1.52.2
GenomicRanges	1.52.1
gert	2.0.0
getopt	1.20.4
GetoptLong	1.0.5
GGally	2.2.1
ggbeeswarm	0.7.2
ggdendro	0.1.23
ggExtra	0.10.1
ggforce	0.4.1
ggfun	0.1.3
ggh4x	0.2.8
ggnewscale	0.4.9
ggplot2	3.4.4
ggplotify	0.1.2
ggpmisc	0.5.5
ggpp	0.5.6
ggprism	1.0.5
ggpubr	0.6.0
ggraph	2.1.0
ggrastr	1.0.2
ggrepel	0.9.4
ggridges	0.5.4
ggsankey	0.0.99999
ggsci	3.0.0
ggsignif	0.6.4
ggstats	0.6.0
ggtree	3.8.2
gh	1.4.0
gitcreds	0.1.2
glmnet	4.1-8
GlobalOptions	0.1.2
globals	0.16.2
glue	1.6.2
GO.db	3.17.0
goftest	1.2-3
googledrive	2.1.1
googlesheets4	1.1.1
GOSemSim	2.26.1
gplots	3.1.3
GPTCelltype	1.0.1
graphics	4.3.1
graphlayouts	1.0.1
grDevices	4.3.1
grid	4.3.1
gridBase	0.4-7
gridExtra	2.3
gridGraphics	0.5-1
gridSVG	1.7-5
gson	0.1.0
gtable	0.3.4
gtools	3.9.4
harmony	0.1.1
haven	2.5.3
HDF5Array	1.32.0
hdf5r	1.3.8
HDO.db	0.99.1
here	1.0.1
hexbin	1.28.3
highr	0.10
Hmisc	5.1-1
hms	1.1.3
htmlTable	2.4.1
htmltools	0.5.6.1
htmlwidgets	1.6.2
httpuv	1.6.11
httr	1.4.7
httr2	0.2.3
ica	1.0-3
ids	1.0.1
igraph	1.5.1
illuminaio	0.44.0
ini	0.3.1
interactiveDisplayBase	1.38.0
IRanges	2.34.1
irlba	2.3.5.1
isoband	0.2.7
iterators	1.0.14
janitor	2.2.0
JASPAR2020	0.99.10
jquerylib	0.1.4
jsonlite	1.8.7
KEGGREST	1.40.1
KernSmooth	2.23-22
knitr	1.44
labeling	0.4.3
labelled	2.13.0
lambda.r	1.2.4
later	1.3.1
lattice	0.21-9
lazyeval	0.2.2
leaps	3.1
leiden	0.4.3
lifecycle	1.0.3
limma	3.56.2
listenv	0.9.0
lme4	1.1-34
lmodel2	1.7-3
lmtest	0.9-40
locfit	1.5-9.8
lubridate	1.9.3
magrittr	2.0.3
maps	3.4.2
marge	0.0.4.9999
marray	1.78.0
MASS	7.3-60
Matrix	1.6-1.1
MatrixGenerics	1.12.3
MatrixModels	0.5-2
matrixStats	1.0.0
mcmc	0.9-8
MCMCpack	1.7-1
mefa4	0.3-9
memoise	2.0.1
methods	4.3.1
Mfuzz	2.60.0
mgcv	1.9-0
microbenchmark	1.4.10
mime	0.12
miniUI	0.1.1.1
minqa	1.2.6
modelr	0.1.11
monaLisa	1.6.0
motifmatchr	1.22.0
multcomp	1.4-25
multcompView	0.1-9
munsell	0.5.0
mvtnorm	1.2-3
nabor	0.5.0
NbClust	3.0.1
nlme	3.1-163
nloptr	2.0.3
NLP	0.3-2
nnet	7.3-19
numDeriv	2016.8-1.1
openai	0.4.1
openssl	2.1.1
org.Hs.eg.db	3.17.0
org.Spig.eg.db	0.1
org.Ss.eg.db	3.17.0
pagedown	0.20
paletteer	1.6.0
pandoc	0.2.0
parallel	4.3.1
parallelDist	0.2.6
parallelly	1.36.0
patchwork	1.1.3
pathviewr	1.1.7
pbapply	1.7-2
pbkrtest	0.5.2
pdist	1.2.1
PerformanceAnalytics	2.0.4
pheatmap	1.0.12
pillar	1.9.0
pkgbuild	1.4.2
pkgconfig	2.0.3
pkgdown	2.0.7
pkgload	1.3.3
plogr	0.2.0
plotly	4.10.2
plotrix	3.8-2
plyr	1.8.9
png	0.1-8
Polychrome	1.5.1
polyclip	1.10-6
polynom	1.4-1
poweRlaw	0.70.6
pracma	2.4.2
praise	1.0.0
presto	1.0.0
prettyunits	1.2.0
princurve	2.1.6
prismatic	1.1.2
processx	3.8.2
profvis	0.3.8
progress	1.2.2
progressr	0.14.0
promises	1.2.1
ProtGenerics	1.32.0
proxy	0.4-27
proxyC	0.5.2
ps	1.7.5
purrr	1.0.2
pvclust	2.2-0
qgg	1.1.2
qqman	0.1.9
quadprog	1.5-8
quantreg	5.97
qvalue	2.32.0
R.matlab	3.7.0
R.methodsS3	1.8.2
R.oo	1.25.0
R.utils	2.12.2
R6	2.5.1
ragg	1.2.6
RANN	2.6.1
rappdirs	0.3.3
rbioapi	0.8.0
rcmdcheck	1.4.0
RColorBrewer	1.1-3
Rcpp	1.0.11
RcppAnnoy	0.0.21
RcppArmadillo	0.12.6.4.0
RcppEigen	0.3.3.9.3
RcppHNSW	0.6.0
RcppParallel	5.1.9
RcppProgress	0.4.2
RcppRoll	0.3.0
RcppThread	2.1.7
RcppTOML	0.2.2
RCurl	1.98-1.12
readr	2.1.4
readxl	1.4.3
refGenome	1.7.7
rematch	2.0.0
rematch2	2.1.2
remotes	2.4.2.1
reprex	2.0.2
reshape2	1.4.4
restfulr	0.0.15
reticulate	1.34.0
rGREAT	2.2.0
rhdf5	2.44.0
rhdf5filters	1.12.1
Rhdf5lib	1.22.1
Rhtslib	2.2.0
rjson	0.2.21
rlang	1.1.3
rmarkdown	2.25
ROCR	1.0-11
roxygen2	7.2.3
rpart	4.1.21
rprojroot	2.0.3
Rsamtools	2.16.0
RSpectra	0.16-1
RSQLite	2.3.1
rstatix	0.7.2
rstudioapi	0.15.0
rsvd	1.0.5
rtracklayer	1.60.1
Rtsne	0.16
Rttf2pt1	1.3.12
rversions	2.1.2
rvest	1.0.3
s2	1.1.4
S4Arrays	1.4.1
S4Vectors	0.38.2
sandwich	3.1-0
sass	0.4.7
scales	1.2.1
scattermore	1.2
scatterpie	0.2.1
scatterplot3d	0.3-44
SCAVENGE	1.0.2
scCATCH	3.2.2
sceasy	0.0.7
sctransform	0.4.0
scuttle	1.10.3
selectr	0.4-2
seqLogo	1.66.0
servr	0.29
sessioninfo	1.2.2
Seurat	4.4.0
SeuratObject	4.1.4
SeuratWrappers	0.2.0
shadowtext	0.1.2
shape	1.4.6
shiny	1.7.5.1
shinyjs	2.1.0
showtext	0.9-7
showtextdb	3.0
Signac	1.11.0
simplifyEnrichment	1.10.0
SingleCellExperiment	1.22.0
sitmo	2.0.2
slam	0.1-55
slingshot	2.7.0
sm	2.2-6.0
snakecase	0.11.1
snow	0.4-4
sourcetools	0.1.7-1
sp	2.1-1
spam	2.10-0
SparseArray	1.2.3
SparseM	1.81
sparseMatrixStats	1.12.2
spatstat.data	3.0-1
spatstat.explore	3.2-3
spatstat.geom	3.2-5
spatstat.random	3.1-6
spatstat.sparse	3.0-2
spatstat.univar	3.0-0
spatstat.utils	3.0-5
splines	4.3.1
splus2R	1.3-5
stabs	0.6-4
statmod	1.5.0
stats	4.3.1
stats4	4.3.1
stringi	1.7.12
stringr	1.5.0
SummarizedExperiment	1.30.2
survival	3.5-7
sys	3.4.2
sysfonts	0.8.9
systemfonts	1.0.4
systemsbio	0.5.0
tcltk	4.3.1
tensor	1.5
testthat	3.2.0
textshaping	0.3.6
TFBSTools	1.38.0
TFMPvalue	0.0.9
TH.data	1.1-2
tibble	3.2.1
tictoc	1.2.1
tidygraph	1.2.3
tidyr	1.3.0
tidyselect	1.2.0
tidytree	0.4.5
tidyverse	2.0.0
timechange	0.2.0
tinytex	0.48
tkWidgets	1.78.0
tm	0.7-16
tools	4.3.1
TrajectoryUtils	1.8.0
treeio	1.24.3
treemap	2.4-4
tweenr	2.0.2
TxDb.Hsapiens.UCSC.hg19.knownGene	3.2.2
TxDb.Hsapiens.UCSC.hg38.knownGene	3.17.0
TxDb.Sscrofa.Ensembl.susScr11.V1	1.0
TxDb.Sscrofa.UCSC.susScr11.refGene	3.12.0
tzdb	0.4.0
umap	0.2.10.0
universalmotif	1.18.1
UpSetR	1.4.0
urlchecker	1.0.1
usethis	2.2.2
utf8	1.2.3
utils	4.3.1
uuid	1.1-1
uwot	0.1.16
VariantAnnotation	1.46.0
vctrs	0.6.4
VennDiagram	1.7.3
vioplot	0.5.0
vipor	0.4.5
viridis	0.6.4
viridisLite	0.4.2
vroom	1.6.4
waldo	0.5.1
webshot	0.5.5
webshot2	0.1.1.9000
websocket	1.4.1
whisker	0.4.1
widgetTools	1.78.0
withr	2.5.1
wk	0.8.0
xfun	0.42
XML	3.99-0.14
xml2	1.3.5
xopen	1.0.0
xtable	1.8-4
xts	0.13.2
XVector	0.40.0
yaml	2.3.7
yulab.utils	0.1.0
zip	2.3.0
zlibbioc	1.46.0
zoo	1.8-12
